2022-02-07 00:45:59.728 [main] INFO  org.apache.catalina.core.AprLifecycleListener - An older version [1.2.25] of the Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [1.2.30]
2022-02-07 00:45:59.728 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.25] using APR version [1.7.0].
2022-02-07 00:45:59.728 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true], UDS [false].
2022-02-07 00:45:59.728 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2022-02-07 00:45:59.730 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1g  21 Apr 2020]
2022-02-07 00:45:59.736 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8333"]
2022-02-07 00:45:59.736 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-02-07 00:45:59.736 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.56]
2022-02-07 00:45:59.806 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/wustyjs] - Initializing Spring embedded WebApplicationContext
2022-02-07 00:45:59.807 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1104 ms
2022-02-07 00:46:00.705 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2022-02-07 00:46:00.864 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8333"]
2022-02-07 00:46:00.875 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8333 (http) with context path '/wustyjs'
2022-02-07 00:46:00.875 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2022-02-07 00:46:00.886 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2022-02-07 00:46:00.909 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2022-02-07 00:46:01.017 [main] INFO  com.linghang.wusthelper.wustyjs.WustYjsApplication - Started WustYjsApplication in 2.737 seconds (JVM running for 3.033)
2022-02-07 00:46:10.225 [http-nio-8333-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/wustyjs] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-02-07 00:46:10.225 [http-nio-8333-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-02-07 00:46:10.226 [http-nio-8333-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2022-02-07 00:46:10.353 [http-nio-8333-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2022-02-07 00:46:10.434 [http-nio-8333-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2022-02-07 00:46:10.751 [http-nio-8333-exec-2] INFO  c.l.w.w.service.impl.WustyjsSpiderServiceImpl - 202009703077:1次登录成功
