2022-02-01 17:20:18.704 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8333 (http) with context path ''
2022-02-01 17:20:18.704 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2022-02-01 17:20:18.715 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2022-02-01 17:20:18.737 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2022-02-01 17:20:18.840 [main] INFO  com.linghang.wusthelper.wustyjs.WustYjsApplication - Started WustYjsApplication in 2.671 seconds (JVM running for 2.956)
2022-02-01 17:26:18.393 [http-nio-8333-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-02-01 17:26:18.393 [http-nio-8333-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-02-01 17:26:18.394 [http-nio-8333-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2022-02-01 17:26:18.530 [http-nio-8333-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2022-02-01 17:26:18.620 [http-nio-8333-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2022-02-01 17:26:20.139 [http-nio-8333-exec-1] INFO  c.l.w.wustyjs.service.impl.SpiderServiceImpl - 202009703077:2次登录成功
